ID,Year,Industry,Q,K,L,IT
ABS,1990,30,1385,1820,951,30
ABS,1991,30,1288,1958,1033,36
ABS,1992,30,1296,2109,1083,62
ABT,1990,10,2893,3250,1289,294
ABT,1991,10,3099,3605,1360,360
ABT,1992,10,3380,3962,1441,505
ACI,1991,30,116,306,17,118
ACK,1990,10,1209,1490,783,58
ACK,1991,10,1183,1600,799,72
ACK,1992,10,1116,1568,764,109
ACV,1991,10,287,234,226,22
ACV,1992,10,296,339,238,34
ACY,1990,10,1715,3368,948,200
ACY,1991,10,1624,3467,948,219
ACY,1992,10,1755,3455,1005,260
ADM,1990,20,1212,3440,339,170
ADM,1992,20,1346,4840,399,215
AHC,1990,10,1464,6735,284,76
AHC,1991,10,2222,7694,307,93
AHC,1992,10,1958,7964,306,150
AHP,1990,10,3306,3131,1614,123
AHP,1991,10,3273,2614,1608,152
AHP,1992,10,3352,2603,1541,311
AIT,1991,30,7110,19226,2741,1348
AIT,1992,30,7185,18778,2691,2045
ALD,1990,20,5258,6528,3754,774
ALD,1991,20,4614,7045,3523,949
ALEX,1991,30,300,1357,115,49
ALEX,1992,30,331,1565,112,63
ALK,1991,30,370,852,272,74
ALK,1992,30,420,962,304,29
AMB,1990,20,3064,9030,1494,120
AMB,1991,20,2595,11023,1441,238
AMB,1992,20,2137,12208,1432,218
AMES,1991,30,104,1054,463,65
AMES,1992,30,251,766,375,157
AMI,1992,20,1096,2781,816,270
AMOS,1992,20,665,709,541,64
AMP,1990,20,1526,1520,869,81
AMP,1991,20,1652,1679,909,100
AMP,1992,20,1730,1694,921,81
AMR,1990,30,4775,9151,3131,1395
AMR,1991,30,4521,11122,3446,1465
AMR,1992,30,5041,13553,4017,623
AN,1990,10,7885,26880,2148,807
AN,1991,10,9510,26905,2295,780
AN,1992,10,9681,26969,2318,949
APD,1990,10,1222,3081,562,78
APD,1991,10,1255,3517,589,112
APD,1992,10,1288,3779,577,142
APS,1990,30,388,1202,191,131
APS,1991,30,357,1126,197,126
APS,1992,30,472,1026,180,234
AR,1990,10,681,2814,336,33
AR,1991,10,725,2882,331,40
AR,1992,10,620,3208,334,63
ARC,1990,10,5115,18604,1138,438
ARC,1991,10,6728,19672,1256,432
ARC,1992,10,6660,21110,1258,598
ARV,1990,20,791,754,646,61
ARV,1991,20,742,780,595,75
ARV,1992,20,717,743,603,89
AS,1990,10,807,1902,614,97
AS,1992,10,617,1534,388,91
ASC,1990,30,3687,6895,2760,125
ASC,1991,30,2866,6638,2467,154
ASC,1992,30,2332,6235,2195,334
ASN,1990,30,856,841,593,165
AVDL,1991,20,276,268,302,28
AVDL,1992,20,198,194,284,42
AVP,1990,10,1399,1363,921,82
AVP,1991,10,1405,1143,942,101
AVP,1992,10,1411,1035,922,144
AVY,1990,20,782,845,580,41
AVY,1991,20,854,1367,530,51
AVY,1992,20,873,1285,516,63
BAX,1990,20,3489,3623,2338,316
BAX,1991,20,3775,3553,2435,431
BAX,1992,20,3672,4002,2301,469
BBC,1990,30,238,543,122,45
BC,1992,20,1000,1376,623,188
BCC,1991,20,1407,4488,820,122
BCC,1992,20,1176,4411,781,158
BDG,1991,10,218,185,74,18
BDG,1992,10,217,192,71,24
BDK,1991,20,2242,1593,1422,236
BDK,1992,20,2493,1447,1466,229
BDX,1990,20,1064,1765,662,118
BDX,1991,20,1101,2021,676,145
BDX,1992,20,1151,2047,710,196
BEL,1990,30,8595,23528,3498,1326
BEL,1991,30,8930,24934,3372,1789
BEL,1992,30,8779,24564,3387,2385
BEV,1991,20,1271,1195,1189,128
BEV,1992,20,1275,1170,1240,224
BHI,1990,20,1045,1817,768,36
BHI,1991,20,1249,1418,792,44
BHI,1992,20,1465,1418,744,83
BLL,1990,10,574,705,459,42
BLL,1992,10,728,1054,480,48
BLS,1990,30,10228,27490,4318,585
BLS,1991,30,10203,27162,4008,718
BLS,1992,30,10089,28178,4058,518
BMY,1991,10,4118,4367,1587,518
BMY,1992,10,4485,4705,1572,676
BN,1991,20,2055,3921,1066,122
BN,1992,20,2007,4113,1027,189
BNI,1992,30,2868,6110,1658,553
BOL,1992,20,861,940,542,113
BRK,1990,20,1427,399,697,103
BRK,1991,20,1445,406,779,127
BRK,1992,20,1567,476,793,127
BS,1990,10,2428,6651,1695,135
BS,1991,10,2380,6393,1626,223
BS,1992,10,2061,6369,1542,291
BUD,1990,20,3689,8746,1914,150
BUD,1991,20,4239,9152,2044,184
BUD,1992,20,4526,9280,2074,311
CBS,1992,30,29,1163,261,77
CSX,1992,30,4632,11762,2671,584
GR,1991,10,664,1911,430,109
GR,1992,10,635,1834,410,99
MMM,1991,20,7563,7301,3927,1347
MMM,1992,20,7755,7346,4044,1349
T,1990,30,19392,23582,11520,1615
T,1991,30,22183,24973,12186,6302
T,1992,30,22915,26012,12054,8594
