Year,GDP,I,GOV,M,TB
1970,1035.6,150.2,115.9,628.1,6.562
1971,1125.4,176,117.1,712.7,4.511
1972,1237.3,205.6,125.1,805.2,4.466
1973,1382.6,242.9,128.2,861,7.178
1974,1496.9,245.6,139.9,908.5,7.926
1975,1630.6,225.4,154.5,1023.2,6.122
1976,1819,286.6,162.7,1163.7,5.266
1977,2026.9,356.6,178.4,1286.5,5.51
1978,2291.4,430.8,194.4,1388.6,7.572
1979,2557.5,480.9,215,1496.9,10.017
1980,2784.2,465.9,248.4,1629.3,11.374
1981,3115.9,556.2,284.1,1793.3,13.776
1982,3242.1,501.1,313.2,1953.2,11.084
1983,3514.5,547.1,344.5,2187.7,8.75
1984,3902.4,715.6,372.6,2378.4,9.8
1985,4180.7,715.1,410.1,2576,7.66
1986,4422.2,722.5,435.2,2820.3,6.03
1987,4692.3,747.2,455.7,2922.3,6.05
1988,5049.6,773.9,457.3,3083.5,6.92
1989,5438.7,829.2,477.2,3243,8.04
1990,5743.8,799.7,503.6,3356,7.47
1991,5916.7,736.2,522.6,3457.9,5.49
1992,6244.4,790.4,528,3515.3,3.57
1993,6550.2,871.1,522.1,3583.6,3.14
1994,6931.4,1014.4,516.3,3617,4.66
